Curso,Sexo,¿Quién es Richard Stallman?,¿Sabes qué características tiene el software libre?,¿Debe ser el software libre siempre gratuito?,¿Puedo proteger mi trabajo con alguna licencia y que siga siendo software libre?,¿Conoces alguna licencia de software?,¿Cuáles?,¿Liberarías tu código con una licencia Creative Commons?,Marca cuáles de los siguientes programas crees que tienen una licencia libre,¿Qué es el copyright?,¿Qué es el copyleft?,¿Cúal se aplica por defecto ante ausencia de licencia de una obra?,¿Cuántos años dura el copyright en España?,¿Qué ocurre pasado ese tiempo con la obra?,¿Conoces GitHub?,¿Has subido algún proyecto a GitHub?,¿Qué significa hacer un fork de un proyecto?
3,M,NS/NC,Puede ser instalado sin licencia y en varios sistemas operativos,Sí,Sí,Sí,VMWare,NS/NC,"Google Chrome, uTorrent, Mozilla Firefox, Telegram",Derechos de autor,NS/NC,NS/NC,20 años,NS/NC,Sí,No,NS/NC
4,M,El tío que ha dado 3 veces la misma conferencia y se acaba de comprar un Libreboot T400,NS/NC,No,Sí,Sí,"GPL, CC","Sí, mi código se podría leer, modificar y mejorar","Eclipse, Mozilla Firefox, Telegram",Protección de creación,Ausencia de protección,Copyleft,Mucho,Se amplía,Sí,Sí,Lo contrario al merge
4,M,Tengo un portatil firmado por él,NS/NC,Sí,Sí,Sí,"CC, GPL, Apache, BSD, LGPL",Sí,"Eclipse, Mozilla Firefox, Telegram",Derechos sobre tus obras,Renuncia a ciertos derechos en favor de la comunidad,Copyright,NS/NC,Pasa a ser dominio público,Sí,Sí,Hacer una copia para trabajar sobre ella
2,F,Un amable señor que desarrolla y defiende el software libre,Permite acceso a su código y modificaciones de este,No,Sí,Sí,CC,"Sí, ayuda a la mejora de los programas por terceros","uTorrent, Eclipse, Telegram",Forma de reconocimiento de autoría de una propiedad intelectual,NS/NC,NS/NC,NS/NC,Pasa a ser compartida sin pagar derechos de autor,Sí,No,División en el desarrollo del proyecto de la que salen dos ramas al menos
3,F,Hombre que defiende el software libre y ha venido varias veces a dar conferencias,Software de código libre,No,Sí,No,,NS/NC,"Eclipse, Telegram","Derechos de algo, no puedes utilizarlo sin ello",NS/NC,Copyleft,5 años,Se puede utilizar,Sí,Sí,Crear un proceso nuevo que siga el código simultáneamente
3,M,Un hippie,Yo programo lo que quiero sin que me manden,NS/NC,NS/NC,No,,NS/NC,"uTorrent, Eclipse, Telegram",Si haces algo y tiene copyright te multan,NS/NC,NS/NC,NS/NC,Se puede plagiar,No,No,Copia en sistemas operativos
1,F,NS/NC,NS/NC,NS/NC,No,No,,No,"Google Chrome, Mozilla Firefox",Derechos de autor,NS/NC,Copyleft,1 año,Hay que renovarlo,No,No,NS/NC
1,M,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,,NS/NC,"Google Chrome, Mozilla Firefox",Derecho del autor sobre las copias de sus obras,NS/NC,NS/NC,NS/NC,NS/NC,Sí,No,NS/NC
1,F,NS/NC,NS/NC,NS/NC,Sí,No,,NS/NC,"Google Chrome, Mozilla Firefox",Tienes derechos sobre el programa y puedes cobrar por el uso del mismo,NS/NC,NS/NC,NS/NC,Gratuito,No,No,NS/NC
1,F,NS/NC,NS/NC,NS/NC,Sí,No,,NS/NC,"Google Chrome, Mozilla Firefox",NS/NC,NS/NC,NS/NC,NS/NC,Gratuito,No,No,NS/NC
1,F,NS/NC,Código abierto,No,Sí,No,,"No, porque permite ver el código; no se modificaría en el propio archivo pero sí en el exterior.","Eclipse, Mozilla Firefox",Derechos de autor,Te permite compartir copias y / o modificaciones,Copyleft,Hasta la muerte del autor,Renovación del copyright o liberación del código,No,No,NS/NC
